,store_id,portal_id,o2o_score,score,review,processed_review,
0,324888,3000,,5.0,Goooooood 다 좋습니다 다음에 또 오고 싶네요 근처 관광지도많고 먹을거리도많네요 서울올때마다 자주이용중인데 또오고싶습니다Goooooood 다 좋습니다 다음에 또 오고 싶네요 근처 관광지도많고 먹을거리도많네요 서울올때마다 자주이용중인데 또오고싶습니다
40,324888,3000,,5.0,1년만에 재방문했습니다. 이번에는 야간특별관람! 인터넷으로 예매해서 방문했습니다. 야간방문은 경복궁 내부를 보는데 제약이 조금있습니다 공개하는 공간이 넓진 않지만... 야간 조명과 공연으로 충분히 멋있고 아름다웠습니다1년만에 재방문했습니다. 이번에는 야간특별관람! 인터넷으로 예매해서 방문했습니다. 야간방문은 경복궁 내부를 보는데 제약이 조금있습니다 공개하는 공간이 넓진 않지만... 야간 조명과 공연으로 충분히 멋있고 아름다웠습니다
50,324888,3000,,5.0,1월은 춥지만 그래도 항상 행사가 있습니다. 전체 1시간 정도로 볼 수 있고1월은 춥지만 그래도 항상 행사가 있습니다. 전체 1시간 정도로 볼 수 있고  지하주차도 가능하니 초등생 이상 자녀들이 있을 경우 역사를 알려줄 수 있는 좋은 기회가 됩니다. 경회루나 근정전이 사진찍기 좋은 장소이고  해설도 해주니 공부가 됩니다. 경복궁 말고 민속박물관과 외부에 미술관들  한옥마을도 있으니 함께 둘러보면 하루코스로 좋습니다.
80,324888,3000,,5.0,2월에 방문했을 때는 수문장 교대 시간이어서 그런지 사람들이 많았습니다. 단아한 경복궁은 방문할 때마다 그 아름다움에 감탄하게 됩니다. 거대하거나 화려하지 않지만2월에 방문했을 때는 수문장 교대 시간이어서 그런지 사람들이 많았습니다. 단아한 경복궁은 방문할 때마다 그 아름다움에 감탄하게 됩니다. 거대하거나 화려하지 않지만  우리에게 옛 선조의 발자취를 알려주는 살아있는 역사로 느껴집니다.
130,324888,3000,,5.0,10년전에 갔을때만해도 한복입고 돌아다니던 사람이 없었는데.. 많은 사람들이 입고 다녀서 보기 너무 좋았습니다~~ 야간개장 할때 못가봤는데...너무 가보고 싶습니다~10년전에 갔을때만해도 한복입고 돌아다니던 사람이 없었는데.. 많은 사람들이 입고 다녀서 보기 너무 좋았습니다~~ 야간개장 할때 못가봤는데...너무 가보고 싶습니다~
190,324888,3000,,5.0,5대 궁궐 중에서 가장 크고 웅장하고 계절마다 느낌이 다릅니다. 교대식도 볼거리 중 하나이고5대 궁궐 중에서 가장 크고 웅장하고 계절마다 느낌이 다릅니다. 교대식도 볼거리 중 하나이고  한복을 입고가면 무료.
210,324888,3000,,3.0,1. 사람이 많지만 그래도 한국에 오면 꼭 방문해야 합니다 2. 한국의 대표적인 역사 유물 3. 세계 각국에서 온 사람들로 북적이지만 그만큼 볼거이 많습니다 4. 근처 대여점에서 한복을 빌려 입고 가는것 팁1. 사람이 많지만 그래도 한국에 오면 꼭 방문해야 합니다 2. 한국의 대표적인 역사 유물 3. 세계 각국에서 온 사람들로 북적이지만 그만큼 볼거이 많습니다 4. 근처 대여점에서 한복을 빌려 입고 가는것 팁
310,324888,3000,,5.0,5대궁 관광이 목표인데 청년 할인으로 잘 구경했습니다. 경회루보다 안쪽 건청궁 앞 연못이 훨씬 예뻤어요. 연주하는 행사도 있었는데 한번 알아보고 가시면 좋을 것 같아요. 작은 도서관이 있는데 시대별로 전시되어 있어서 관심있는 분야에 대한 독서도 가능합니다. 생각보다 꽤 넓어서 구두 신으면 불편할 것 같아요.5대궁 관광이 목표인데 청년 할인으로 잘 구경했습니다. 경회루보다 안쪽 건청궁 앞 연못이 훨씬 예뻤어요. 연주하는 행사도 있었는데 한번 알아보고 가시면 좋을 것 같아요. 작은 도서관이 있는데 시대별로 전시되어 있어서 관심있는 분야에 대한 독서도 가능합니다. 생각보다 꽤 넓어서 구두 신으면 불편할 것 같아요.
330,324888,3000,,5.0,500년 수도였던 조선시대 경성의 왕궁이 바로 경복궁이다. 왕이 정치를 했던500년 수도였던 조선시대 경성의 왕궁이 바로 경복궁이다. 왕이 정치를 했던  그리고 사대부들이 그 정치를 도왔던 흔적이다. 경복궁 내 정원과 호수등은 내가 조선시대로 넘어온 것이 아닌가 싶을 정도의 착각이 든다. 근처에서 한복체험도 할 수 있어 한복을 입고 경복궁을 걸어보는 것은 어떨까? 야간개장도 할때가 있으니 폐장시간을 잘 알아보면 이쁜 야경도 경험할 수 있다.
500,324888,3000,,5.0,"2004년 10월 저는 사랑하는 한 아름다운 여인을 만나 결혼을 하게 됩니다. 2년 여간의 구애로 결혼에 성공하게 된 나는 결혼식이라는 커다란 장벽에 부딪치게 되지요...다들 경함하셨겠지만 결혼식의 사전 과정에는 촬영이 따르게 되는데 제가 결혼할 당시만 해도 거의 야외촬영을 하지 않았지만 저는 안산에 있는 경복궁이라는 예식장에서 결혼을 예약했고 촬영기사에게 서울의 경복궁에서 야외촬영이 가능한지를 협상하게 됩니다. 촬영기사는 안산에서 서울로 시간과 경비가 추가로 요구된다고 하였고 저는 어린시절부터 경복궁에서 느꼈던 좋은 추억 때문에 경비를 더 부담하더라도 경복궁에서 촬영을 하고 싶다고 고집을 피웠고 지금의 아내도 제 의견에 동의하여 우리 커플은 경복궁의 많은 하객들 가운데서 축복을 가득 받으며 야외 촬영을 성공적으로 마치게 되었습니다. 경복궁은 중국 베이징의 자금성에 비하면 작은 정원에 불가하지만 역사적으로 많은 시련을 겪었음에도 지금의 아름다운 우리나라의 대표적 궁전으로 자리잡고 있습니다. 다른말이 필요없이 너무도 아름답고 자랑스러운 이름 바로 ""경복궁""입니다. 다른분들도 좀 멀지만 집앞의 공원처럼 자주 들렸으면 하네요....경복궁을 관리하시는 모든 여러분! 정말로 감사합니다.....2004년 10월 저는 사랑하는 한 아름다운 여인을 만나 결혼을 하게 됩니다. 2년 여간의 구애로 결혼에 성공하게 된 나는 결혼식이라는 커다란 장벽에 부딪치게 되지요...다들 경함하셨겠지만 결혼식의 사전 과정에는 촬영이 따르게 되는데 제가 결혼할 당시만 해도 거의 야외촬영을 하지 않았지만 저는 안산에 있는 경복궁이라는 예식장에서 결혼을 예약했고 촬영기사에게 서울의 경복궁에서 야외촬영이 가능한지를 협상하게 됩니다. 촬영기사는 안산에서 서울로 시간과 경비가 추가로 요구된다고 하였고 저는 어린시절부터 경복궁에서 느꼈던 좋은 추억 때문에 경비를 더 부담하더라도 경복궁에서 촬영을 하고 싶다고 고집을 피웠고 지금의 아내도 제 의견에 동의하여 우리 커플은 경복궁의 많은 하객들 가운데서 축복을 가득 받으며 야외 촬영을 성공적으로 마치게 되었습니다. 경복궁은 중국 베이징의 자금성에 비하면 작은 정원에 불가하지만 역사적으로 많은 시련을 겪었음에도 지금의 아름다운 우리나라의 대표적 궁전으로 자리잡고 있습니다. 다른말이 필요없이 너무도 아름답고 자랑스러운 이름 바로 ""경복궁""입니다. 다른분들도 좀 멀지만 집앞의 공원처럼 자주 들렸으면 하네요....경복궁을 관리하시는 모든 여러분! 정말로 감사합니다....."
